0,11,none
1,21,0
2,24,none
3,5,1:2
4,10,1:2
5,22,1
6,27,0
7,11,none
8,12,none
9,27,6
10,21,0
11,19,8
12,11,none
13,11,2:9:4
14,11,none
15,7,10:14:1
16,28,8
17,7,none
18,24,1:5
19,11,7
20,20,2
21,5,4
22,6,0:17:16
23,11,8
24,25,18
25,16,20
26,13,9:24
27,17,9
28,16,22
29,8,6:3:21
30,23,none
31,10,20
32,26,none
33,17,2
34,27,none
35,15,11
36,6,8
37,21,26:5
38,18,none
39,7,none
40,29,none
41,21,33
42,17,30:16
43,18,31
44,11,12
45,6,14
46,24,5:10
47,20,none
48,11,39:31:32
49,7,none
50,21,18:5
51,23,40
52,14,none
53,29,4
54,12,none
55,28,none
56,28,13:16
57,15,none
58,13,26
59,22,none
60,21,none
61,20,38:35
62,27,44
63,16,46
64,25,34
65,16,none
66,20,51:47
67,19,27:59
68,10,26
69,28,none
70,18,56
71,5,48:65
72,7,17
73,20,none
74,29,2
75,19,none
76,16,62
77,20,60:29:25
78,16,74
79,29,38
80,21,71:47:68
81,25,78
82,13,none
83,27,40
84,16,none
85,16,8:68
86,5,none
87,5,32
88,8,81:64
89,25,none
90,10,48:3
91,16,none
92,26,none
93,28,18
94,30,none
95,23,0
96,19,57
97,18,73
98,22,0:31
99,18,53
100,5,none
101,9,none
102,27,none
103,21,none
104,8,60:73:59
105,5,76
106,12,none
107,5,5
108,8,51
109,13,31
110,21,none
111,25,81:18
112,8,26:107
113,16,89:49:100
114,15,23
